Quantity, Value, Footprint, Designators
C1, 0.1uF - 275V, CAP_THT_CERAMIC_X2_18x6x15, 1
C2, 100uF - 16V, CAP_SMD_ELEC_6.3x7.7, 1
C3, 10uF - 16V, CAP_SMD_TANTALUM_CASE-A, 1
C4, 10uF - 6.3V, CAP_SMD_TANTALUM_CASE-A, 1
C5, 0.1uF - 6.3V, CAP_SMD_CERAMIC_0603, 1
C6, 220nF, CAP_THT_CERAMIC_X2_13x6x12, 1
D1, LED, LED_SMD_0603, 1
D2, 1N4148, DIODE_SMD_SOD323F, 1
J1, J2, J3, Screw_Terminal_01x02, CONN_TERMINAL-BLOCK_2P_P5.08, 3
J4, Conn_01x06_Socket, CONN_SOCKET-HEADER_1x06_V, 1
J5, Conn_01x03_Socket, CONN_PIN-HEADER_1x03_V, 1
K1, 12V 5A, RELAY_SPDT_FINDER_36.11, 1
PS1, HLK-PM12 - 3W, HILINK_HLK-PMxx, 1
Q1, 2N7002H, SOT-23, 1
R10, 1M, RES_SMD_1206, 1
R5, 390 - 5% - 1/10W, RES_SMD_0603, 1
R1, R2, R3, R6, 10k - 5% - 1/10W, RES_SMD_0603, 4
R4, R7, 2.2k - 5% - 1/10W, RES_SMD_0603, 2
R8, 10k, LDR_5_V, 1
R9, 1k, RES_SMD_1206, 1
SW1, SW_SPDT, SW_TOGGLE_DPDT_THT_7x7, 1
U1, AMS1117-3.3 - 3.3W, SOT-223-3_TAB2, 1
U2, ESP-12E, MOD_ESP-12E, 1
U3, PC817, SMDIP-4_7.62, 1
U4, H11AA1, SMDIP-6_7.62, 1
